queue_seq,company,email,url,final_url,prefecture,scan_status,track,hp_score,recruit_score,ai_score,recommended_campaign,campaign_evidence,owner_campaign,send_tier,owner_ok,owner_notes
27,株式会社せらら工房,"serara@100kj.co.jp","http://serara.jp/","https://serara.jp/contact/",神奈川,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
28,マツミハウジング株式会社,"info@matsumi.com","https://matsumi.com","https://www.matsumi.com/",東京,G1_WEAK,inside,2,6,1,recruit,"採用URL:/recruit; 採用キーワード; 採用ページ更新古い(2004); 工務店・建設",recruit,S,y,
29,内田建設株式会社,"info@k-uchiken.com","http://www.k-uchiken.com","https://www.k-uchiken.com/company/",東京,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
30,maruyama-koumuten,"maruyamakomuten.info@gmail.com","https://www.maruyama-koumuten.co.jp/","https://www.maruyama-koumuten.co.jp/",東京,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
31,大堀工務店,"info@o-horikoumuten.jp","https://o-horikoumuten.jp/","https://o-horikoumuten.jp/company.html",大宮,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線; 見積・対応エリア訴求",,S,,
32,よしこホーム,".furuya.m@alto.ocn.ne.jp","https://furuyamokuzai.com/","https://furuyamokuzai.com/contact/",横芝光町,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
33,白木建設株式会社,"info@shiraki-kensetu.co.jp","https://www.shiraki-kensetu.co.jp/","https://www.shiraki-kensetu.co.jp/",国分寺市,G1_WEAK,inside,3,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
34,株式会社中川工務店,"n@nakagawakoumuten.odawara","https://www.nakagawakoumuten.jp/","https://www.nakagawakoumuten.jp/",小田原市,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
35,株式会社カネザワ,"info@kanezawa.co.jp","https://kanezawa.co.jp/","https://kanezawa.co.jp/",神川町,G1_WEAK,inside,3,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
36,石川工務店,"info@waraku-i.com","https://www.waraku-i.com/","https://www.waraku-i.com/",西条,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
37,株式会社今工務所,"info@kon-koum.co.jp","http://www.kon-koum.co.jp/","https://www.kon-koum.co.jp/form",青森,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
38,梶野工務店,"t.kajino@mable.ne.jp","https://www.kajinokoumuten.com/","https://www.kajinokoumuten.com/company/",松江,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
39,東海スマート企業グループ株式会社,"info@alphahome-plus.com","http://alphahomeplus.co.jp/","https://www.alphahomeplus.co.jp/contact/",刈谷,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
40,伊藤工務店,"info@e-itokoumuten.net","http://www.e-itokoumuten.net/","https://e-itokoumuten.net/aboutus/",あま,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
41,株式会社六花舎設計,"info@rokkasha.com","https://www.rokkasha.com/","https://www.rokkasha.com/contact/",久喜,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
42,株式会社クリエイト住宅,"info@kurieito-jutaku.jp","http://www.kurieito-jutaku.jp/","https://kurieito-jutaku.jp/",酒田,G1_MODERN,inside,0,4,4,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",recruit,A,y,
43,十和建設株式会社,"towa448@green.ocn.ne.jp","http://www.towa-kensetsu.co.jp/","https://www.towa-kensetsu.co.jp/company/",鶴岡,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
44,有限会社ニューチップ,"info@sample.co.jp","http://newchip.jp","https://www.newchip.jp/contact/",越前,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
45,株式会社住建,"info@reform-jyuken.com","http://www.reform-jyuken.com/","https://reform-jyuken.com/about/",甲斐,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,S,y,
46,株式会社モリハウジング,"info@nust.jp","http://mo-house.com/","https://nust.jp/company/",日立,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
47,株式会社栃毛木材工業,"info@tochimou.jp","http://www.tochimou.jp/","https://tochimou.jp/contact/",鹿沼,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
48,株式会社長谷川萬治商店,"post@haseman.co.jp","http://www.haseman.co.jp/","https://www.haseman.co.jp/",江東,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
49,白馬建設株式会社,"privacy@e-hakuba.com","http://www.e-hakuba.com/","https://www.e-hakuba.com/group/contact/",東村山,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
50,大東住宅株式会社,"info@daitojyutaku.co.jp","http://daitojyutaku.co.jp/","https://www.daitojyutaku.co.jp/",大和,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
51,稲沢建設株式会社,"inaken@inaken21.com","https://inaken21.com/","https://inaken21.com/gaiyou/",稲沢市,G1_WEAK,inside,2,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,A,y,
52,中野建設株式会社,"info@nakanokensetsu.co.jp","http://nakanokensetsu.co.jp","https://nakanokensetsu.co.jp/form/",一宮市,G1_WEAK,inside,1,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
53,小原木材株式会社,"info@obaramokuzai.co.jp","http://obaramokuzai.jp/","https://obaramokuzai.jp/company/access/",岡崎市,G1_WEAK,inside,2,3,3,recruit,"採用URL:/recruit/; 工務店・建設",recruit,A,y,
54,岩部建設株式会社,"iis@iwabe.co.jp","https://www.iwabe.co.jp","https://www.iwabe.co.jp/access",知多郡武豊町,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
55,株式会社東海エコン,"econ@wine.ocn.ne.jp","https://www.tokaiecon.com","https://www.tokaiecon.com/",常滑市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
56,株式会社オノコム,"onocom@onocom.co.jp","https://www.onocom.co.jp/","https://www.onocom.co.jp/contact/",豊橋市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
57,豊橋建設工業株式会社,"info@toyo-ken.com","http://www.toyo-ken.com/","https://www.toyo-ken.com/contact",豊橋市,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
58,株式会社杉本組,"honsya@sugimotogumi.co.jp","http://www.sugimotogumi.co.jp/","https://www.sugimotogumi.co.jp/company.php/",名古屋市,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
59,株式会社セレクトホーム,"select@selecthome.co.jp","http://www.selecthome.co.jp/","https://selecthome.co.jp/company/",神戸,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
60,坂猛建設有限会社,"info@xxx.com","http://bantake.co.jp/","https://bantake.co.jp/company/",東海,G1_WEAK,inside,2,3,3,recruit,"採用URL:/recruit/; 工務店・建設",recruit,A,y,
61,株式会社大藪組,"info@oh-yabu.co.jp","http://www.oh-yabu.co.jp/","https://oh-yabu.co.jp/contact/",筑後,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
62,株式会社藤島建設,"t_yamada@gmail.com","https://fujishima-kensetsu.co.jp","https://fujishima-kensetsu.co.jp/contact/",埼玉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
63,i-sumu設計株式会社,"inspection@i-sumu.co.jp","https://i-sumu.jp/company/","https://i-sumu.jp/company/",埼玉,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
64,株式会社アップルホーム,"info@apple-h.co.jp","https://www.apple-h.co.jp/","https://www.apple-h.co.jp/",埼玉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
65,株式会社アイライフ,"uketsuke@ai-life.co.jp","http://www.ai-life.co.jp","https://www.ai-life.co.jp/contact/",埼玉,G1_MODERN,inside,0,2,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,S,y,
66,三ヶ島製材株式会社,"mikajima@ictv.ne.jp","http://www.mikajima.co.jp/","https://www.mikajima.co.jp/",埼玉,G1_WEAK,inside,2,4,2,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",recruit,A,y,
67,(株)三宅建築工房,"shin@miyake-koubou.com","http://miyake-koubou.com/","https://miyake-koubou.com/company/",福岡,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
68,(株)ベストホーム,"info@e-besthome.jp","http://e-besthome.jp","https://e-besthome.jp/contact/",福岡,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
69,鳥飼建設(株),"torikaihome@torikaiken.co.jp","https://torikaiken.co.jp/","https://torikaiken.co.jp/company/",福岡,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
70,梅原建設(株),"info@umehara-cc.jp","http://umehara-cc.jp/","https://umehara-cc.jp/company/",福岡,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
71,眞鍋建設(株),"info@manabe-k.com","http://www.manabe-k.com/","https://manabe-k.com/company/",福岡,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
72,(株)MP,"info@mp-gr.jp","https://www.mp-gr.jp/","https://www.mp-gr.jp/",神奈川,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruitment/; 採用キーワード; 工務店・建設",recruit,A,y,
73,(株)北村建築工房,"info@ki-kobo.jp","http://ki-kobo.jp/","https://ki-kobo.jp/",神奈川,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
74,(株)市川屋,"zaimokuya@gd6.so-net.ne.jp","https://ichikawa-ya.com/","https://ichikawa-ya.com/company/",神奈川,G1_WEAK,inside,1,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
75,報告エンジニアリング(株),"hokoku@sample.jp","http://www.hokoku-eng.jp/","https://www.hokoku-eng.jp/form/",神奈川,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
76,株式会社 山田建設,"user@sample.jp","http://www.yamada-kensetsu.com/","https://yamada-kensetsu.com/company/",神奈川,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
77,（株）M-HOUSE,"info@m-house.jp","https://m-house.jp/","https://m-house.jp/assessment/form/",神奈川,G1_WEAK,inside,1,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
78,株式会社ナフィックス,"naffics-customer@noda-co.jp","http://www.naffics-co.jp","https://www.naffics-co.jp/naffics/",東京,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
79,有限会社大賢工務店,"info@daiken-nc.com","https://www.office-daiken.jp/","https://office-daiken.jp/company/",千葉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
80,株式会社石川商会住宅機材,"info@ishikawa-reform.jp","http://ishikawa-reform.jp/","https://ishikawa-reform.jp/company/",千葉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
81,ishibashi-koumuten,"yourmail@sample.co.jp","https://ishibashi-koumuten.com/","https://ishibashi-koumuten.com/",東京,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
82,marutomihome,"info@kubodera.jp","https://marutomihome.jp/","https://www.marutomihome.jp/contact",東京,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,S,y,
83,haseman,"post@haseman.co.jp","https://www.haseman.co.jp/","https://www.haseman.co.jp/",東京,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
84,okaniwa,"mail@okaniwa.jp","https://www.okaniwa.jp/","https://www.okaniwa.jp/company/",東京,G1_MODERN,inside,0,4,4,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",recruit,A,y,
85,株式会社鈴木工務店,"info@suzuki-koumuten.co.jp","https://www.suzuki-koumuten.co.jp/","https://www.suzuki-koumuten.co.jp/aboutus/",町田,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",,A,,
86,株式会社秋葉工務店,"info@akibakoumuten.com","https://www.akibakoumuten.com/","https://www.akibakoumuten.com/",千葉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",,A,,
87,羽山工務店,"haya-kou@haya-kou.co.jp","https://haya-kou.co.jp/","https://haya-kou.co.jp/contact/",立川,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
88,川正工務店,"info@xxxxxx.com","https://kawasyou-co.com/","https://kawasyou-co.com/contact/",浦和,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",,A,,
89,ウェッジホーム,"lien@wedgehome.co.jp","https://www.wedgehome.co.jp/","https://www.wedgehome.co.jp/company/",木更津市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
90,阿部工業,"hanako@mobara-taro.com","https://abe-kougyou.com/","https://abe-kougyou.com/work/toiawase/",茂原市,G1_WEAK,inside,2,4,2,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",,A,,
91,岩澤工務店,"1030@iwasawa-woody.jp","https://iwasawa-woody.jp/","https://iwasawa-woody.jp/company",香取市,G1_MODERN,inside,0,2,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",,S,,
92,鎌形建設株式会社,"info@kamagatakk.jp","https://www.kamagatakk.jp/","https://www.kamagatakk.jp/profile/",多古町,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruitment/; 採用キーワード; 工務店・建設",,A,,
93,株式会社貴建築工房,"info@taka-kenchiku.co.jp","https://taka-kenchiku.co.jp/","https://taka-kenchiku.co.jp/",調布市,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",,S,,
94,株式会社横和工務店,"info@yokowa.co.jp","http://www.yokowa.co.jp/","http://www.yokowa.co.jp/",横須賀市,G1_WEAK,inside,3,4,1,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
95,株式会社飯塚工務店,"iizuka-koumuten2011@cocoa.ocn.ne.jp","https://www.tsuru-iizuka.co.jp/","https://www.tsuru-iizuka.co.jp/company",秦野市,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線; 見積・対応エリア訴求",,S,,
96,株式会社若井工務店,"wakai002@green.ocn.ne.jp","https://www.wakai-koumuten.com/","https://www.wakai-koumuten.com/company.html",真鶴町,G1_WEAK,inside,2,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",,A,,
97,丸山工務店,"info@my-works.co.jp","https://www.my-works.co.jp/","https://www.my-works.co.jp/",秩父市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
98,株式会社松崎工務店,"info@matsuzaki-koumuten1968.jp","https://www.matsuzaki-koumuten1968.jp/","https://www.matsuzaki-koumuten1968.jp/contact",狭山市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",,A,,
99,菱沼建設,"hisinuma@hisinuma.co.jp","https://www.hisinuma.co.jp/","https://www.hisinuma.co.jp/inquiry/",白岡市,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線; 見積・対応エリア訴求",,S,,
100,株式会社猪狩工務店,"info@igarikoumuten.co.jp","https://igarikoumuten.co.jp/","https://igarikoumuten.co.jp/company/",伊奈町,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
101,高橋建築株式会社,"info@ta-k.jp","http://www.ta-k.jp/","https://www.ta-k.jp/company/",小鹿野町,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
102,株式会社小沢工務店,"otoiawase@ozaco.jp","https://ozaco.jp/","https://ozaco.jp/company/",睦沢町,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",,A,,
103,株式会社マツモト工務店,"aksuper@aksuper.jp","https://aksuper.jp/","https://aksuper.jp/",鳥取,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
104,株式会社タウン建設,"info@yume-town.net","https://www.yume-town.net/","https://www.yume-town.net/access/",鳥取,G1_WEAK,inside,2,3,2,recruit,"採用URL:/recruit/; 工務店・建設",recruit,A,y,
105,アイルホーム株式会社,"abc@i-llhome.jp","https://i-llhome.jp/","https://i-llhome.jp/contact/",札幌,G1_WEAK,inside,2,3,2,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,A,y,
106,株式会社内山ホーム,"t_yamada@sample.jp","https://www.uchiyama-home.com","https://www.uchiyama-home.com/inquiry",南魚沼,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
107,有限会社アベ設計室,"aabe@plum.plala.or.jp","https://r.goope.jp/abesekkeisitsu","https://r.goope.jp/abesekkeisitsu/",南魚沼,G1_WEAK,inside,2,3,2,recruit,"採用URL:/recruit/; 工務店・建設",recruit,A,y,
108,株式会社髙藤建設,"yourname@takatohome.co.jp","http://www.takatohome.co.jp","https://takatohome.co.jp/contact/",太田,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
109,株式会社テラジマアーキテクツ,"pr@terajima.co.jp","http://www.kenchikuka.co.jp/","https://www.kenchikuka.co.jp/",世田谷,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,A,y,
110,株式会社匠技建,"info@takumigiken.com","http://www.takumigiken.com/","https://www.takumigiken.com/contact",立川,G1_WEAK,inside,2,4,1,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,A,y,
111,株式会社五十嵐工匠,"glt@lixil.com","http://www.ii-ie.net/~igarashi/","https://www.ii-ie2.net/about/",会津若松,G1_WEAK,inside,2,2,3,ai_ops,"PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,A,y,
