approval_seq,company,url,email,defects,audit_draft,final_url,owner_ok,owner_notes
36,松本建設株式会社,"http://www.matsuken2581.sakura.ne.jp","kenji-m@car.ocn.ne.jp",SSL未整備; tel:なし; 更新停止感(HTML内2015止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2015止),"http://www.matsuken2581.sakura.ne.jp/",,
37,株式会社笠原工務店,"http://www.kasahara-koumuten.co.jp/","info@kasahara-koumuten.co.jp",viewportなし; tel:なし,粗:(1)viewportなし;(2)tel:なし,"https://www.kasahara-koumuten.co.jp/",,
38,株式会社城南組,"http://www.jonangumi.co.jp/","info@jonangumi.co.jp",SSL未整備; tel:なし; 更新停止感(HTML内2009止),粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2009止),"http://www.jonangumi.co.jp/company/",,
39,株式会社ハヤタウッドユーホーム,"http://maruka-woodsystems.com/","maruka.woodsystems@gmail.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://maruka-woodsystems.com/",,
40,株式会社国松工務店,"http://www.k-kunimatsu.jp/","kunimatsu@k-kunimatsu.jp",SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.k-kunimatsu.jp/",,
41,株式会社サントピアホーム,"http://www.suntopiahome.co.jp/","info@www.suntopiahome.co.jp",SSL未整備; tel:なし,粗:(1)SSL未整備;(2)tel:なし,"http://www.suntopiahome.co.jp/contact",,
42,株式会社小林工務店,"http://www.0561569111.com/","yourmail@sample.co.jp",tel:なし; 更新停止感(HTML内2019止),粗:(1)tel:なし;(2)更新停止感(HTML内2019止),"https://www.0561569111.com/form",,
43,株式会共豊エポック,"http://www.kyoho-epoch.co.jp/","info@kyoho-epoch.co.jp",SSL未整備; 更新停止感(HTML内2017止),粗:(1)SSL未整備;(2)更新停止感(HTML内2017止),"http://www.kyoho-epoch.co.jp/company/",,
44,中田ホームズ有限会社,"http://www.nakata-homes.com/","info@nakata-homes.com",SSL未整備; viewportなし; tel:なし,粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし,"http://www.nakata-homes.com/company.html",,
45,株式会社にしかわ,"http://nishikawa-inc.com/","nishikawa@abcd.com",tel:なし; 更新停止感(HTML内2000止),粗:(1)tel:なし;(2)更新停止感(HTML内2000止),"https://nishikawa-inc.com/contact",,
