company,email,site_url,prefecture,scan_status,track,hp_score,recruit_score,ai_score,recommended_campaign,campaign_evidence,owner_campaign,status,notes,sent_at,send_tier
(株)ラクジュ,"lakuju@gmail.com","https://lakuju.jp/",神奈川,G1_MODERN,inside,0,2,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=104",,S
(株)リバティーホーム,"yourname@yourdomain.com","https://libertygroup.jp/company/",福岡,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=160",,A
(株)安成工務店 福岡支店,"yasunari@yasunari.co.jp","https://www.yasunari-komuten.com/inquiry",福岡,G1_WEAK,inside,2,3,2,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=100",,A
(株)駅前工務店,"yourname@yourdomain.com","https://www.ekimaekoumuten.co.jp/inquiry/",福岡,G1_MODERN,inside,0,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=131",,A
(株)雅建設,"ogunisugi-ism@miyabi-con.jp","https://miyabi-con.jp/company/",福岡,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
(株)三宅建築工房,"shin@miyake-koubou.com","https://miyake-koubou.com/company/",福岡,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=56",,A
(株)市川屋,"zaimokuya@gd6.so-net.ne.jp","https://ichikawa-ya.com/company/",神奈川,G1_WEAK,inside,1,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=63",,A
(株)清武建設,"info@kiyotake.co.jp","https://www.kiyotake.co.jp/",福岡,G1_MODERN,inside,0,2,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=101",,S
(株)西江ハウジング,"info@nishie-housing.com","https://nishie-housing.com/",福岡,G1_WEAK,inside,1,1,3,ai_ops,"HP導線おおむね整備; FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=163",,A
(株)大幸商事,"contact@eto-web.com","https://eto-web.com/",福岡,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=162",,A
(株)大川,"info@okawa-ss.co.jp","https://www.okawa-ss.co.jp/",神奈川,G1_MODERN,inside,0,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=134",,A
(株)中山建設,"nk@nakaken.info","https://nakaken-nh.jp/about/",神奈川,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=164",,A
(株)長崎材木店,"info@nagasakizaimokuten.co.jp","https://www.nagasakizaimokuten.co.jp/",福岡,G1_MODERN,inside,0,4,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=5",,S
(株)日本物産,"info@nihonbussan.co.jp","https://www.nihonbussan.co.jp/form/",神奈川,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=20",,A
(株)尾山建設,"mail@oyamanoie.com","https://oyamanoie.com/contact/",福岡,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=18",,S
(株)福岡工務店,"info@fukuoka-k.jp","https://www.fukuoka-k.jp/",福岡,G1_MODERN,inside,0,2,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=130",,A
(株)北村建築工房,"info@ki-kobo.jp","https://ki-kobo.jp/",神奈川,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=62",,A
(株)令和コーポレーション,"info@mysite.com","https://www.reiwa-corporation.tokyo/",神奈川,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
(株)六花,"toiawase@rokka.homes","https://www.rokka.homes/",福岡,G1_WEAK,inside,2,2,2,skip,"全スコア不足(hp=2,recruit=2,ai=2)",,pool_skip,"",,hold
(有)三陽工務店,"info-34@sanyoukoumuten.co.jp","https://www.sanyoukoumuten.co.jp/company/company.html",神奈川,G1_MODERN,inside,0,2,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=132",,A
(有)木匠工務店,"info@mokusho.com","https://www.mokusho.com/",神奈川,G1_MODERN,inside,0,1,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=133",,S
111ie,"kentaro@horikiri.co.jp","https://111ie.com/contact/",東京,G1_MODERN,inside,0,1,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=176",,A
Ag-工務店,"watanabe@eiji-arch.com","https://eiji-arch.com/contact/",新潟,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=7",,S
e-cubeホームテクノ株式会社,"info@e-cube-group.com","https://www.e-cube-group.com/ht/",埼玉,G1_MODERN,inside,0,3,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=97",,A
e-marusei,"mocomoko@e-marusei.jp","https://www.e-marusei.jp/",東京,G1_MODERN,inside,0,3,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=112",,A
fabworks,"info@fabworks.co.jp","https://www.fabworks.co.jp/company/",東京,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=169",,A
GAT,"gat@xxxxx.com","https://www.foryou-home.jp/",久慈,G1_MODERN,inside,0,1,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=170",,A
haseman,"post@haseman.co.jp","https://www.haseman.co.jp/",東京,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=72",,A
i-sumu設計株式会社,"inspection@i-sumu.co.jp","https://i-sumu.jp/company/",埼玉,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=52",,A
ishibashi-koumuten,"yourmail@sample.co.jp","https://ishibashi-koumuten.com/",東京,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=70",,A
keio-united,"info@keio-united.jp","https://www.keio-united.jp/",東京,G1_WEAK,inside,2,2,2,skip,"全スコア不足(hp=2,recruit=2,ai=2)",,pool_skip,"",,hold
kurasu,"info@kurasu.co.jp","https://kurasu.co.jp/",東京,G1_MODERN,inside,0,2,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=168",,A
marutomihome,"info@kubodera.jp","https://www.marutomihome.jp/contact",東京,G1_MODERN,inside,0,3,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=71",,S
maruyama-koumuten,"maruyamakomuten.info@gmail.com","https://www.maruyama-koumuten.co.jp/",東京,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=24",,S
okaniwa,"mail@okaniwa.jp","https://www.okaniwa.jp/company/",東京,G1_MODERN,inside,0,4,4,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=73",,A
r-station,"info@r-station.net","https://www.r-station.net/",東京,G1_MODERN,inside,0,2,4,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=143",,A
taisei-re,"info@taisei-re.com","https://www.taisei-re.com/company/",東京,G1_WEAK,inside,2,1,3,ai_ops,"FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=144",,A
Tamada工房株式会社,"info@tamadakoubou.com","https://tamadakoubou.com/company/",福山,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=10",,A
tokyo-chumon,"info@regard-home.com","https://tokyo-chumon.com/company",東京,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
アイルホーム株式会社,"abc@i-llhome.jp","https://i-llhome.jp/contact/",札幌,G1_WEAK,inside,2,3,2,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=76",,A
アドバン株式会社,"info@advan-works.jp","https://advan-works.jp/company/",埼玉,G1_WEAK,inside,2,6,4,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2013); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=1",,S
いなばハウジング株式会社,"info@xxx.com","https://inabahousing.com/contact/",鳥取,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=146",,A
インデュアホーム秋田茂木建設株式会社,"akita@e-motegi.com","https://eh-akita.com/",秋田,G1_WEAK,inside,2,1,3,ai_ops,"HP導線おおむね整備; FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=118",,A
エコワークス(株),"info@eco-works.jp","https://www.eco-works.jp/",福岡,G1_MODERN,inside,0,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=129",,A
テクニカルホーム 株式会社,"info@technical-home.co.jp","https://www.technical-home.co.jp/company/",神奈川,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=165",,A
ノモトホームズ,"info@nomoto-homes.co.jp","https://www.nomoto-homes.co.jp/about/",新潟,G1_WEAK,inside,2,2,1,skip,"全スコア不足(hp=2,recruit=2,ai=1)",,pool_skip,"",,hold
パワーコントロールテクニック 株式会社 Ｅファシリティ事業部,"enjoy-ev@autobacs-dh.com","https://www.enjoy-ev.com/",東京,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
ヒノケン株式会社,"sato@hinoken.co.jp","https://hinoken.co.jp/form/",石巻,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=11",,A
ファースト住建株式会社,"info@first-juhken.co.jp","https://www.first-juhken.co.jp/profile/",高崎,G1_MODERN,inside,0,2,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=119",,A
マツミハウジング株式会社,"info@matsumi.com","https://www.matsumi.com/",東京,G1_WEAK,inside,2,6,1,recruit,"採用URL:/recruit; 採用キーワード; 採用ページ更新古い(2004); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=22",,S
伊藤工務店,"info@e-itokoumuten.net","https://e-itokoumuten.net/aboutus/",あま,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=29",,A
稲沢建設株式会社,"inaken@inaken21.com","https://inaken21.com/gaiyou/",稲沢市,G1_WEAK,inside,2,3,3,recruit,"採用キーワード; 採用リンクあり(深掘り要); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=40",,A
稲東建設株式会社,"info@inatou.com","https://www.inatou.com/",稲沢市,G1_MODERN,inside,0,1,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=173",,A
横尾建設株式会社,"soumu@yokoo-ke.co.jp","https://www.yokoo-ke.co.jp/",埼玉,G1_MODERN,inside,0,6,3,recruit,"採用URL:/recruit/; 採用キーワード; 採用ページ更新古い(2000); 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=17",,S
温戸ライフ,"info@ondolife.jp","https://ondolife.jp/",岡崎,G1_WEAK,inside,2,2,2,skip,"全スコア不足(hp=2,recruit=2,ai=2)",,pool_skip,"",,hold
河井工務店,"info@kawai-building.com","https://www.kawai-building.com/contact",天理,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
快適空間株式会社,"abc@abc.com","https://kaitekikukan.co.jp/contact/",埼玉,G1_WEAK,inside,1,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=96",,A
梶野工務店,"t.kajino@mable.ne.jp","https://www.kajinokoumuten.com/company/",松江,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=27",,A
株式会社 キリガヤ,"home@kirigaya.co.jp","https://kirigaya.jp/contact/",神奈川,G1_MODERN,inside,0,2,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=106",,S
株式会社 スマイル,"info@smilede.com","https://smilede.com/company",神奈川,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
株式会社 山田建設,"user@sample.jp","https://yamada-kensetsu.com/company/",神奈川,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=65",,A
株式会社Ａｒｘｉｓｔ,"info@axt1.co.jp","https://www.arxist.jp/company.html",東京,G1_WEAK,inside,2,4,1,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=110",,A
株式会社Cozy,"kurata@k-cozy.co.jp","https://www.k-cozy.co.jp/",広島,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
株式会社アイライフ,"uketsuke@ai-life.co.jp","https://www.ai-life.co.jp/contact/",埼玉,G1_MODERN,inside,0,2,6,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=54",,S
株式会社アップルホーム,"info@apple-h.co.jp","https://www.apple-h.co.jp/",埼玉,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=53",,A
株式会社アルファ建築空間,"info@mail.co.jp","https://alpha-as.jp/contact/",鹿島,G1_WEAK,inside,2,2,2,skip,"全スコア不足(hp=2,recruit=2,ai=2)",,pool_skip,"",,hold
株式会社イシトミドリ,"info@mysite.co.jp","https://www.ishitomidori.com/",札幌,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
株式会社イチオリデザインラボ,"info@i-d-l.co.jp","https://i-d-l.co.jp/",練馬,G1_WEAK,inside,2,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=9",,A
株式会社イチマルホーム,".abcd@sample.co.jp","https://www.ichimaruhome.com/contact/",赤磐,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=152",,A
株式会社エースホーム,"info@acehome.net","https://acehome.net/",神埼,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
株式会社エコライフ・ニブ,"info@econibu.jp","https://eco-nibu.jp/",伊万里,G1_WEAK,inside,2,2,2,skip,"全スコア不足(hp=2,recruit=2,ai=2)",,pool_skip,"",,hold
株式会社オノコム,"onocom@onocom.co.jp","https://www.onocom.co.jp/contact/",豊橋市,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=45",,A
株式会社カネタケ建設,"info@kanetake-kensetu.com","https://kanetake-kensetu.com/company/",十日町,G1_WEAK,inside,1,1,3,ai_ops,"HP導線おおむね整備; FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=147",,A
株式会社クラフト・ハウス,"iwate.crafthouse@gmail.com","https://www.iwate-crafthouse.co.jp/contact/",矢巾,G1_MODERN,inside,0,1,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=171",,A
株式会社クリエイト住宅,"info@kurieito-jutaku.jp","https://kurieito-jutaku.jp/",酒田,G1_MODERN,inside,0,4,4,recruit,"採用URL:/採用/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=31",,A
株式会社クリエすずき建設,"crie@crie-s.co.jp","https://www.crie-s.co.jp/contact/",柏,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); PDF資料; 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=12",,A
株式会社クワケン,"kuwaken@gix.or.jp","https://kuwaken.jp/company/",江南市,G1_WEAK,inside,1,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=84",,A
株式会社コムハウジング,"request@comhousing.com","https://www.comhousing.com/toiawase/index.html",岡山,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=151",,A
株式会社シモムラ・プランニング社,"info@simomura.co.jp","https://www.simomura.co.jp/",一宮,G1_WEAK,inside,2,1,3,ai_ops,"FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=125",,A
株式会社すまいるほーむ,"info@smile-life.jp","https://smile-life.jp/",富山,G1_MODERN,inside,0,2,3,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=154",,A
株式会社スローライフ住宅設計,"nishikawa@slowlife-fukuoka.co.jp","https://slowlife-fukuoka.co.jp/company/",那珂川,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
株式会社せらら工房,"serara@100kj.co.jp","https://serara.jp/contact/",神奈川,G1_MODERN,inside,0,4,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=21",,S
株式会社セレクトホーム,"select@selecthome.co.jp","https://selecthome.co.jp/company/",神戸,G1_MODERN,inside,0,4,4,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=48",,A
株式会社タウン建設,"info@yume-town.net","https://www.yume-town.net/access/",鳥取,G1_WEAK,inside,2,3,2,recruit,"採用URL:/recruit/; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=75",,A
株式会社テイガク,"info@teigaku.co.jp","https://yanekabeya.com/about/company/",埼玉,G1_MODERN,inside,0,3,4,ai_ops,"HP整備済(G1_MODERN); 問合せ・見積導線; 見積・対応エリア訴求",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=94",,A
株式会社テラジマアーキテクツ,"pr@terajima.co.jp","https://www.kenchikuka.co.jp/",世田谷,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=80",,A
株式会社ナフィックス,"naffics-customer@noda-co.jp","https://www.naffics-co.jp/naffics/",東京,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit/; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=67",,A
株式会社ハセコウ工務店,"haseko@nichiai.jp","https://haseko-koumuten.jp/",一宮市,G1_WEAK,inside,1,1,2,skip,"全スコア不足(hp=1,recruit=1,ai=2)",,pool_skip,"",,hold
株式会社ひだまり設計工房,"info@hidamari-sekkei.com","https://hidamari-sekkei.com/",千葉,G1_WEAK,inside,2,1,1,skip,"全スコア不足(hp=2,recruit=1,ai=1)",,pool_skip,"",,hold
株式会社ヒロハウス,"info@hilohouse.net","https://www.hilohouse.net/",久山,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=158",,A
株式会社フジキ建設,"info@fuziki.co.jp","https://www.fuziki.co.jp/",埼玉,G1_WEAK,inside,2,3,2,recruit,"採用URL:/recruit/; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=95",,A
株式会社マツモト工務店,"aksuper@aksuper.jp","https://aksuper.jp/",鳥取,G1_MODERN,inside,0,4,3,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=74",,A
株式会社マルケイ,"e-mail@domain.jp","https://www.marukei55.co.jp/contact",名古屋市,G1_WEAK,inside,2,2,1,skip,"全スコア不足(hp=2,recruit=2,ai=1)",,pool_skip,"",,hold
株式会社モリハウジング,"info@nust.jp","https://nust.jp/company/",日立,G1_WEAK,inside,2,4,2,recruit,"採用URL:/recruit; 採用キーワード; 工務店・建設",recruit,approved,"/ owner承認 2026-08-31 採用改善 queue_seq=35",,A
株式会社ワイツ,"otoiawase@waitsu.com","https://waitsu.com/",平群,G1_MODERN,inside,0,1,5,ai_ops,"HP整備済(G1_MODERN); FAX表記; PDF資料; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=124",,S
株式会社育暮家ハイホームス,"e-mail.hihomes@tokai.or.jp","https://hihomes.co.jp/",藤枝,G1_MODERN,inside,0,1,4,ai_ops,"HP整備済(G1_MODERN); FAX表記; 問合せ・見積導線",ai_ops,approved,"/ owner承認 2026-08-31 AI業務改善 queue_seq=153",,A
株式会社加藤建築,"info@kato-arc-storage.jp","https://kato-arc-storage.jp/contact",山形,G1_WEAK,inside,2,1,2,skip,"全スコア不足(hp=2,recruit=1,ai=2)",,pool_skip,"",,hold
